"ISSN_1","ISSN_2","Title"
0956‐5515,1572‐8145,"JOURNAL OF INTELLIGENT MANUFACTURING"
0334‐1860,2191‐026X,"JOURNAL OF INTELLIGENT SYSTEMS"
2769‐786X,2690‐6791,"JOURNAL OF INTELLIGENT SYSTEMS AND INTERNET OF THINGS"
1547‐2450,1547‐2442,"JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS: TECHNOLOGY, PLANNING, AND OPERATIONS"
1093‐023X,,"         JOURNAL OF INTERACTIVE LEARNING RESEARCH"
1365‐893X,,"         JOURNAL OF INTERACTIVE MEDIA IN EDUCATION"
0219‐2659,1793‐6713,"JOURNAL OF INTERCONNECTION NETWORKS"
1533‐2861,1533‐287X,"JOURNAL OF INTERNET COMMERCE"
1867‐4828,1869‐0238,"JOURNAL OF INTERNET SERVICES AND APPLICATIONS"
2182‐2069,2182‐2077,"JOURNAL OF INTERNET SERVICES AND INFORMATION SECURITY"
1607‐9264,2079‐4029,"JOURNAL OF INTERNET TECHNOLOGY"
1319‐1578,2213‐1248,"JOURNAL OF KING SAUD UNIVERSITY ‐ COMPUTER AND INFORMATION SCIENCES"
2299‐856X,2299‐8470,"JOURNAL OF LANGUAGE MODELLING"
1748‐9725,1748‐9733,"JOURNAL OF LOCATION BASED SERVICES"
0955‐792X,1465‐363X,"JOURNAL OF LOGIC AND COMPUTATION"
0925‐8531,,"         JOURNAL OF LOGIC, LANGUAGE AND INFORMATION"
2352‐2208,2352‐2216,"JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING"
2789‐1801,2788‐7669,"JOURNAL OF MACHINE AND COMPUTING"
1532‐4435,1533‐7928,"JOURNAL OF MACHINE LEARNING RESEARCH"
1524‐7252,1532‐5806,"JOURNAL OF MANAGEMENT INFORMATION AND DECISION SCIENCE"
0742‐1222,1557‐928X,"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS"
0924‐9907,1573‐7683,"JOURNAL OF MATHEMATICAL IMAGING AND VISION"
2617‐2496,,"         JOURNAL OF MEDICAL ARTIFICIAL INTELLIGENCE"
0148‐5598,1573‐689X,"JOURNAL OF MEDICAL SYSTEMS"
2523‐8906,2523‐8914,"JOURNAL OF MEMBRANE COMPUTING"
1093‐3263,1873‐4243,"JOURNAL OF MOLECULAR GRAPHICS AND MODELLING"
1542‐3980,,"         JOURNAL OF MULTIPLE‐VALUED LOGIC AND SOFT COMPUTING"
1084‐8045,1095‐8592,"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS"
1064‐7570,1573‐7705,"JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT"
2414‐8105,,"         JOURNAL OF NETWORK INTELLIGENCE"
1660‐1769,,"         JOURNAL OF OBJECT TECHNOLOGY"
2049‐9647,,"         JOURNAL OF OPEN RESEARCH SOFTWARE"
1943‐0620,,"         JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING"
1546‐2234,1546‐5012,"JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING"
1091‐9392,1532‐7744,"JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE"
0743‐7315,1096‐0848,"JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING"
2575‐8527,,"         JOURNAL OF PRIVACY AND CONFIDENTIALITY"
1861‐8200,1861‐8219,"JOURNAL OF REAL‐TIME IMAGE PROCESSING"
2199‐4668,2199‐4676,"JOURNAL OF RELIABLE INTELLIGENT ENVIRONMENTS"
2666‐6596,,"         JOURNAL OF RESPONSIBLE TECHNOLOGY"
2405‐9021,2352‐6386,"JOURNAL OF ROBOTICS, NETWORKING AND ARTIFICIAL LIFE"
1094‐6136,,"         JOURNAL OF SCHEDULING"
0885‐7474,1573‐7691,"JOURNAL OF SCIENTIFIC COMPUTING"
0167‐5133,1477‐4593,"JOURNAL OF SEMANTICS"
2224‐2708,,"         JOURNAL OF SENSOR AND ACTUATOR NETWORKS"
1939‐8018,1939‐8115,"JOURNAL OF SIGNAL PROCESSING SYSTEMS"
1747‐7778,1747‐7786,"JOURNAL OF SIMULATION"
2688‐5255,,"         JOURNAL OF SOCIAL COMPUTING"
2716‐621X,,"         JOURNAL OF SOFT COMPUTING AND DATA MINING"
2588‐2872,,"         JOURNAL OF SOFT COMPUTING IN CIVIL ENGINEERING"
2047‐7481,,"         JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS"
1948‐660X,,"         JOURNAL OF SPATIAL INFORMATION SCIENCE"
1548‐7660,,"         JOURNAL OF STATISTICAL SOFTWARE"
0963‐8687,,"         JOURNAL OF STRATEGIC INFORMATION SYSTEMS"
0920‐8542,1573‐0484,"JOURNAL OF SUPERCOMPUTING"
0747‐7171,1095‐855X,"JOURNAL OF SYMBOLIC COMPUTATION"
1328‐7265,1758‐8847,"JOURNAL OF SYSTEMS AND INFORMATION TECHNOLOGY"
0164‐1212,,"         JOURNAL OF SYSTEMS AND SOFTWARE"
1383‐7621,,"         JOURNAL OF SYSTEMS ARCHITECTURE"
1009‐6124,,"         JOURNAL OF SYSTEMS SCIENCE AND COMPLEXITY"
1509‐4553,1899‐8852,"JOURNAL OF TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY"
0004‐5411,1557‐735X,"JOURNAL OF THE ACM"
1067‐5027,1527‐974X,"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION"
2330‐1635,2330‐1643,"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY"
1536‐9323,,"         JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS"
0104‐6500,1678‐4804,"JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY"
0016‐0032,,"         JOURNAL OF THE FRANKLIN INSTITUTE"
1992‐8645,1817‐3195,"JOURNAL OF THEORETICAL AND APPLIED INFORMATION TECHNOLOGY"
1752‐8909,1752‐8917,"JOURNAL OF UNCERTAIN SYSTEMS"
0948‐695X,0948‐6968,"JOURNAL OF UNIVERSAL COMPUTER SCIENCE"
1047‐3203,1095‐9076,"JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION"
1045‐926X,,"         JOURNAL OF VISUAL LANGUAGES AND COMPUTING"
1343‐8875,1875‐8975,"JOURNAL OF VISUALIZATION"
1540‐9589,,"         JOURNAL OF WEB ENGINEERING"
1932‐2909,1932‐2917,"JOURNAL OF WEB LIBRARIANSHIP"
1570‐8268,,"         JOURNAL OF WEB SEMANTICS"
2093‐5374,2093‐5382,"JOURNAL OF WIRELESS MOBILE NETWORKS, UBIQUITOUS COMPUTING, AND DEPENDABLE APPLICATIONS"
1213‐6972,1213‐6964,"JOURNAL OF WSCG"
1556‐4673,1556‐4711,"JOURNAL ON COMPUTING AND CULTURAL HERITAGE"
1861‐2032,,"         JOURNAL ON DATA SEMANTICS"
1783‐7677,1783‐8738,"JOURNAL ON MULTIMODAL USER INTERFACES"
0933‐1875,1610‐1987,"KI ‐ KUNSTLICHE INTELLIGENZ"
0219‐1377,0219‐3116,"KNOWLEDGE AND INFORMATION SYSTEMS"
0269‐8889,1469‐8005,"KNOWLEDGE ENGINEERING REVIEW"
0950‐7051,,"         KNOWLEDGE‐BASED SYSTEMS"
1976‐7277,2288‐1468,"KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS"
0368‐492X,,"         KYBERNETES"
0023‐5954,1805‐949X,"KYBERNETIKA"
1574‐020X,1574‐0218,"LANGUAGE RESOURCES AND EVALUATION"
1757‐9961,1757‐997X,"LAW, INNOVATION AND TECHNOLOGY"
2379‐5980,,"         LEDGER"
1367‐0751,,"         LOGIC JOURNAL OF THE IGPL"
1860‐5974,1860‐5974,"LOGICAL METHODS IN COMPUTER SCIENCE"
1230‐0535,2720‐250X,"MACHINE GRAPHICS AND VISION"
2731‐538X,2731‐5398,"MACHINE INTELLIGENCE RESEARCH"
0885‐6125,1573‐0565,"MACHINE LEARNING"
2504‐4990,,"         MACHINE LEARNING AND KNOWLEDGE EXTRACTION"
2632‐2153,,"         MACHINE LEARNING: SCIENCE AND TECHNOLOGY"
0932‐8092,1432‐1769,"MACHINE VISION AND APPLICATIONS"
0922‐6567,1573‐0573,"MACHINE TRANSLATION"
0127‐9084,,"         MALAYSIAN JOURNAL OF COMPUTER SCIENCE"
2577‐8838,,"         MATHEMATICAL FOUNDATIONS OF COMPUTING"
0025‐5610,1436‐4646,"MATHEMATICAL PROGRAMMING"
1867‐2949,1867‐2957,"MATHEMATICAL PROGRAMMING COMPUTATION"
0960‐1295,1469‐8072,"MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE"
0378‐4754,,"         MATHEMATICS AND COMPUTERS IN SIMULATION"
1661‐8270,1661‐8289,"MATHEMATICS IN COMPUTER SCIENCE"
0364‐765X,1526‐5471,"MATHEMATICS OF OPERATIONS RESEARCH"
0140‐0118,1741‐0444,"MEDICAL AND BIOLOGICAL ENGINEERING AND COMPUTING"
1361‐8415,1361‐8423,"MEDICAL IMAGE ANALYSIS"
1865‐9284,1865‐9292,"MEMETIC COMPUTING"
0026‐1270,2511‐705X,"METHODS OF INFORMATION IN MEDICINE"
0141‐9331,,"         MICROPROCESSORS AND MICROSYSTEMS"
0924‐6495,1572‐8641,"MINDS AND MACHINES"
0276‐7783,2162‐9730,"MIS QUARTERLY: MANAGEMENT INFORMATION SYSTEMS"
1574‐017X,,"         MOBILE INFORMATION SYSTEMS"
1383‐469X,1572‐8153,"MOBILE NETWORKS AND APPLICATIONS"
1720‐898X,,"         MONDO DIGITALE"
1003‐6059,,"         MOSHI SHIBIE YU RENGONG ZHINENG/PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE"
1574‐1702,1875‐9076,"MULTIAGENT AND GRID SYSTEMS"
0923‐6082,1573‐0824,"MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING"
0942‐4962,1432‐1882,"MULTIMEDIA SYSTEMS"
1380‐7501,1573‐7721,"MULTIMEDIA TOOLS AND APPLICATIONS"
2414‐4088,,"         MULTIMODAL TECHNOLOGIES AND INTERACTION"
1878‐7789,,"         NANO COMMUNICATION NETWORKS"
2631‐9268,,"         NAR GENOMICS AND BIOINFORMATICS"
1567‐7818,1572‐9796,"NATURAL COMPUTING"
1351‐3249,1469‐8110,"NATURAL LANGUAGE ENGINEERING"
2662‐8457,,"         NATURE COMPUTATIONAL SCIENCE"
2522‐5839,,"         NATURE MACHINE INTELLIGENCE"
1385‐9587,,"         NETNOMICS: ECONOMIC RESEARCH AND ELECTRONIC NETWORKING"
2192‐6662,2192‐6670,"NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS"
2050‐1242,2050‐1250,"NETWORK SCIENCE"
0954‐898X,1361‐6536,"NETWORK: COMPUTATION IN NEURAL SYSTEMS"
0028‐3045,1097‐0037,"NETWORKS"
0899‐7667,1530‐888X,"NEURAL COMPUTATION"
0941‐0643,1433‐3058,"NEURAL COMPUTING AND APPLICATIONS"
1210‐0552,2336‐4335,"NEURAL NETWORK WORLD"
0893‐6080,1879‐2782,"NEURAL NETWORKS"
1370‐4621,1573‐773X,"NEURAL PROCESSING LETTERS"
0925‐2312,1872‐8286,"NEUROCOMPUTING"
1539‐2791,1559‐0089,"NEUROINFORMATICS"
2634‐4386,,"         NEUROMORPHIC COMPUTING AND ENGINEERING"
0288‐3635,1882‐7055,"NEW GENERATION COMPUTING"
1793‐0057,1793‐7027,"NEW MATHEMATICS AND NATURAL COMPUTATION"
1361‐4568,1740‐7842,"NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA"
1361‐4576,1740‐7869,"NEW REVIEW OF INFORMATION NETWORKING"
2056‐6387,,"         NPJ QUANTUM INFORMATION"
2056‐7189,,"         NPJ SYSTEMS BIOLOGY AND APPLICATIONS"
1468‐4527,1468‐4535,"ONLINE INFORMATION REVIEW"
2468‐6964,,"         ONLINE SOCIAL NETWORKS AND MEDIA"
1875‐0362,,"         OPEN BIOINFORMATICS JOURNAL"
2299‐1093,,"         OPEN COMPUTER SCIENCE"
1230‐1612,1573‐1324,"OPEN SYSTEMS AND INFORMATION DYNAMICS"
0163‐5980,,"         OPERATING SYSTEMS REVIEW"
1109‐2858,1866‐1505,"OPERATIONAL RESEARCH"
0030‐364X,1526‐5463,"OPERATIONS RESEARCH"
2662‐2556,2662‐2556,"OPERATIONS RESEARCH FORUM"
0167‐6377,,"         OPERATIONS RESEARCH LETTERS"
0030‐3887,0975‐0320,"OPSEARCH"
1573‐4277,,"         OPTICAL SWITCHING AND NETWORKING"
1055‐6788,1029‐4937,"OPTIMIZATION METHODS AND SOFTWARE"
2081‐4836,,"         PALADYN"
0167‐8191,,"         PARALLEL COMPUTING"
0129‐6264,1793‐642X,"PARALLEL PROCESSING LETTERS"
1433‐7541,1433‐755X,"PATTERN ANALYSIS AND APPLICATIONS"
0031‐3203,,"         PATTERN RECOGNITION"
1054‐6618,1555‐6212,"PATTERN RECOGNITION AND IMAGE ANALYSIS"
0167‐8655,,"         PATTERN RECOGNITION LETTERS"
2376‐5992,,"         PEERJ COMPUTER SCIENCE"
1936‐6442,1936‐6450,"PEER‐TO‐PEER NETWORKING AND APPLICATIONS"
0166‐5316,,"         PERFORMANCE EVALUATION"
0163‐5999,,"         PERFORMANCE EVALUATION REVIEW"
1617‐4909,1617‐4917,"PERSONAL AND UBIQUITOUS COMPUTING"
1574‐1192,,"         PERVASIVE AND MOBILE COMPUTING"
1387‐974X,1572‐8188,"PHOTONIC NETWORK COMMUNICATIONS"
1553‐734X,1553‐7358,"PLOS COMPUTATIONAL BIOLOGY"
1054‐7460,1531‐3263,"PRESENCE: TELEOPERATORS AND VIRTUAL ENVIRONMENTS"
0032‐9460,1608‐3253,"PROBLEMS OF INFORMATION TRANSMISSION"
1877‐0509,,"         PROCEDIA COMPUTER SCIENCE"
0018‐9219,1558‐2256,"PROCEEDINGS OF THE IEEE"
2150‐8097,,"         PROCEEDINGS OF THE VLDB ENDOWMENT"
1135‐5948,1989‐7553,"PROCESAMIENTO DEL LENGUAJE NATURAL"
0361‐7688,1608‐3261,"PROGRAMMING AND COMPUTER SOFTWARE"
2192‐6352,2192‐6360,"PROGRESS IN ARTIFICIAL INTELLIGENCE"
1533‐7146,,"         QUANTUM INFORMATION AND COMPUTATION"
1570‐0755,,"         QUANTUM INFORMATION PROCESSING"
2524‐4906,2524‐4914,"QUANTUM MACHINE INTELLIGENCE"
1542‐7730,1542‐7749,"QUEUE"
0257‐0130,1572‐9443,"QUEUEING SYSTEMS"
0399‐0559,1290‐3868,"RAIRO ‐ OPERATIONS RESEARCH"
0988‐3754,1290‐385X,"RAIRO ‐ THEORETICAL INFORMATICS AND APPLICATIONS"
1042‐9832,1098‐2418,"RANDOM STRUCTURES AND ALGORITHMS"
0922‐6443,1573‐1383,"REAL‐TIME SYSTEMS"
2666‐2558,2666‐2566,"RECENT ADVANCES IN COMPUTER SCIENCE AND COMMUNICATIONS"
1385‐3139,1573‐1340,"RELIABLE COMPUTING"
0947‐3602,1432‐010X,"REQUIREMENTS ENGINEERING"
2410‐9142,2412‐4281,"REVIEW OF COMPUTER ENGINEERING RESEARCH"
1657‐2831,2539‐2115,"REVISTA COLOMBIANA DE COMPUTACION"
0103‐4308,2175‐2745,"REVISTA DE INFORMATICA TEORICA E APLICADA"
0992‐499X,1958‐5748,"REVUE D'INTELLIGENCE ARTIFICIELLE"
1646‐9895,,"         RISTI ‐ REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO"
2704‐7318,,"         RIVISTA ITALIANA DI INFORMATICA E DIRITTO"
0921‐8890,,"         ROBOTICS AND AUTONOMOUS SYSTEMS"
1453‐8245,,"         ROMANIAN JOURNAL OF INFORMATION SCIENCE AND TECHNOLOGY"
1000‐9825,,"         RUAN JIAN XUE BAO/JOURNAL OF SOFTWARE"
1895‐1767,,"         SCALABLE COMPUTING"
9050‐0167,1901‐0990,"SCANDINAVIAN JOURNAL OF INFORMATION SYSTEMS"
1732‐3916,2083‐8476,"SCHEDAE INFORMATICAE"
1674‐733X,1869‐1919,"SCIENCE CHINA INFORMATION SCIENCES"
0167‐6423,,"         SCIENCE OF COMPUTER PROGRAMMING"
0147‐6882,1934‐8118,"SCIENTIFIC AND TECHNICAL INFORMATION PROCESSING"
1843‐8121,2248‐2695,"SCIENTIFIC ANNALS OF COMPUTER SCIENCE"
2052‐4463,,"         SCIENTIFIC DATA"
1058‐9244,1875‐919X,"SCIENTIFIC PROGRAMMING"
2079‐3537,,"         SCIENTIFIC VISUALIZATION"
0138‐9130,1588‐2861,"SCIENTOMETRICS"
1939‐0114,,"         SECURITY AND COMMUNICATION NETWORKS"
1570‐0844,2210‐4968,"SEMANTIC WEB"
1424‐3210,1424‐8220,"SENSORS"
1863‐2386,1863‐2394,"SERVICE ORIENTED COMPUTING AND APPLICATIONS"
1004‐9037,,"         SHUJU CAIJI YU CHULI/JOURNAL OF DATA ACQUISITION AND PROCESSING"
0097‐5397,1095‐7111,"SIAM JOURNAL ON COMPUTING"
0363‐0129,1095‐7138,"SIAM JOURNAL ON CONTROL AND OPTIMIZATION"
0895‐4801,,"         SIAM JOURNAL ON DISCRETE MATHEMATICS"
1936‐4954,1936‐4954,"SIAM JOURNAL ON IMAGING SCIENCES"
2166‐2525,,"         SIAM‐ASA JOURNAL OF UNCERTAINTY QUANTIFICATION"
0163‐5808,,"         SIGMOD RECORD"
0165‐1684,,"         SIGNAL PROCESSING"
0923‐5965,,"         SIGNAL PROCESSING: IMAGE COMMUNICATION"
1863‐1703,1863‐1711,"SIGNAL, IMAGE AND VIDEO PROCESSING"
0037‐5497,1741‐3133,"SIMULATION"
1569‐190X,,"         SIMULATION MODELLING PRACTICE AND THEORY"
1120‐9550,1973‐8226,"SISTEMI INTELLIGENTI"
2624‐6511,,"         SMART CITIES"
2352‐6483,,"         SMART HEALTH"
2662‐995X,2661‐8907,"SN COMPUTER SCIENCE"
1869‐5450,1869‐5469,"SOCIAL NETWORK ANALYSIS AND MINING"
0894‐4393,1552‐8286,"SOCIAL SCIENCE COMPUTER REVIEW"
1432‐7643,1433‐7479,"SOFT COMPUTING"
0038‐0644,1097‐024X,"SOFTWARE ‐ PRACTICE AND EXPERIENCE"
1619‐1366,1619‐1374,"SOFTWARE AND SYSTEMS MODELING"
2665‐9638,,"         SOFTWARE IMPACTS"
0963‐9314,1573‐1367,"SOFTWARE QUALITY JOURNAL"
0960‐0833,1099‐1689,"SOFTWARE TESTING VERIFICATION AND RELIABILITY"
2524‐8510,,"         SOFTWARE‐INTENSIVE CYBER‐PHYSICAL SYSTEMS"
2352‐7110,,"         SOFTWAREX"
1751‐0473,,"         SOURCE CODE FOR BIOLOGY AND MEDICINE"
1015‐7999,2313‐7835,"SOUTH AFRICAN COMPUTER JOURNAL"
1387‐5868,,"         SPATIAL COGNITION AND COMPUTATION"
2366‐3286,2366‐3294,"SPATIAL INFORMATION RESEARCH"
0167‐6393,,"         SPEECH COMMUNICATION"
1932‐1864,1932‐1872,"STATISTICAL ANALYSIS AND DATA MINING"
0960‐3174,1573‐1375,"STATISTICS AND COMPUTING"
2311‐004X,2310‐5070,"STATISTICS, OPTIMIZATION AND INFORMATION COMPUTING"
1615‐147X,1615‐1488,"STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION"
2197‐6503,2197‐6511,"STUDIES IN BIG DATA"
1860‐949X,1860‐9503,"STUDIES IN COMPUTATIONAL INTELLIGENCE"
1434‐9922,,"         STUDIES IN FUZZINESS AND SOFT COMPUTING"
1220‐1766,1841‐429X,"STUDIES IN INFORMATICS AND CONTROL"
2409‐6008,2313‐8734,"SUPERCOMPUTING FRONTIERS AND INNOVATIONS"
2210‐5379,,"         SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS"
2210‐6502,,"         SWARM AND EVOLUTIONARY COMPUTATION"
1935‐3812,1935‐3820,"SWARM INTELLIGENCE"
1681‐6048,2308‐8893,"SYSTEM RESEARCH AND INFORMATION TECHNOLOGIES"
2772‐9419,,"         SYSTEMS AND SOFT COMPUTING"
1098‐1241,1520‐6858,"SYSTEMS ENGINEERING"
2211‐1662,2211‐1670,"TECHNOLOGY, KNOWLEDGE AND LEARNING"
8756‐3894,,"         TECHTRENDS"
0736‐5853,,"         TELEMATICS AND INFORMATICS"
0304‐3975,,"         THEORETICAL COMPUTER SCIENCE"
1471‐0684,1475‐3081,"THEORY AND PRACTICE OF LOGIC PROGRAMMING"
1557‐2862,,"         THEORY OF COMPUTING"
1432‐4350,1433‐0490,"THEORY OF COMPUTING SYSTEMS"
1361‐1682,1467‐9671,"TRANSACTIONS IN GIS"
2307‐387X,,"         TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS"
1346‐0714,,"         TRANSACTIONS OF THE JAPANESE SOCIETY FOR ARTIFICIAL INTELLIGENCE"
1544‐3566,1544‐3973,"TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION"
1888‐5063,2013‐1631,"TRANSACTIONS ON DATA PRIVACY"
1539‐9087,1558‐3465,"TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS"
1615‐5289,1615‐5297,"UNIVERSAL ACCESS IN THE INFORMATION SOCIETY"
2196‐8896,,"         VIETNAM JOURNAL OF COMPUTER SCIENCE"
1989‐9947,,"         VIRTUAL ARCHAEOLOGY REVIEW"
2397‐9704,2397‐9712,"VIRTUAL CREATIVITY"
1359‐4338,,"         VIRTUAL REALITY"
2096‐5796,2666‐1209,"VIRTUAL REALITY AND INTELLIGENT HARDWARE"
0178‐2789,1432‐2315,"VISUAL COMPUTER"
2096‐496X,2524‐4442,"VISUAL COMPUTING FOR INDUSTRY, BIOMEDICINE, AND ART"
2543‐2656,2468‐502X,"VISUAL INFORMATICS"
1066‐8888,0949‐877X,"VLDB JOURNAL"
2631‐7176,,"         WEARABLE TECHNOLOGIES"
2405‐6456,2405‐6464,"WEB INTELLIGENCE"
1735‐188X,,"         WEBOLOGY"
1942‐4787,1942‐4795,"WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY"
1022‐0038,1572‐8196,"WIRELESS NETWORKS"
0929‐6212,1572‐834X,"WIRELESS PERSONAL COMMUNICATIONS"
1386‐145X,1573‐1413,"WORLD WIDE WEB"
